chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	128262208	128262209	Aluexon:4890	chr14:102788955:102788956:+	+	47	7.58	7	5	7
chr10	128276148	128276149	Aluexon:5339	chr14:102801268:102801269:+	+	180	-10.57	6	5	6
chr10	129631062	129631063	Aluexon:6406	chr14:104150352:104150353:-	-	163	-11.06	16	16	5
chr10	129684318	129684319	Aluexon:1125	chr14:104203676:104203677:-	-	260	-19.36	19	6	19
chr10	129801455	129801456	Aluexon:1124	chr14:104311029:104311030:-	-	54	-26.04	18	18	7
chr10	129849153	129849154	Aluexon:1122	chr14:104350227:104350228:-	-	13	3.42	4	4	2
chr10	129879329	129879330	Aluexon:1123	chr14:104380970:104380971:-	-	232	-0.65	13	13	4
chr10	130529034	130529035	Aluexon:6407	chr14:104978198:104978199:-	-	24	-7.69	8	8	5
chr10	131144722	131144723	Aluexon:1126	chr14:105565054:105565055:+	+	16	0.92	10	10	4
chr10	131778486	131778487	Aluexon:5752	chr14:106400070:106400071:-	-	240	1.53	7	7	6
chr10	131778570	131778571	Aluexon:5753	chr14:106400161:106400162:-	-	149	-1.48	7	7	6
chr10	131778708	131778709	Aluexon:5754	chr14:106400295:106400296:-	-	15	-8.62	7	7	6
chr10	131921960	131921961	Aluexon:5768	chr14:106637975:106637976:-	-	93	-12.52	21	21	5
chr10	131922001	131922002	Aluexon:5769	chr14:106638014:106638015:-	-	54	-26.64	21	21	5
chr10	132143000	132143001	Aluexon:5792	chr14:106795866:106795867:-	-	248	-30.64	6	6	5
chr10	132143154	132143155	Aluexon:5793	chr14:106796019:106796020:-	-	95	-9.29	6	6	5
chr10	132143196	132143197	Aluexon:5794	chr14:106796062:106796063:-	-	52	-6.91	6	6	5
chr10	13713637	13713638	Aluexon:1216	chr15:71550537:71550538:+	+	29	1.72	6	6	5
chr10	14281616	14281617	Aluexon:1217	chr15:72110994:72110995:+	+	54	7.01	14	14	6
chr10	15137148	15137149	Aluexon:1221	chr15:73090343:73090344:+	+	22	-8.57	10	10	5
chr10	1587154	1587155	Aluexon:1200	chr15:59651809:59651810:-	-	17	-15.97	5	5	5
chr10	15919971	15919972	Aluexon:4918	chr15:73883095:73883096:-	-	31	2.13	7	7	7
chr10	16245500	16245501	Aluexon:1223	chr15:74204644:74204645:-	-	28	4.76	6	6	4
chr10	16783963	16783964	Aluexon:1235	chr15:74783807:74783808:+	+	45	1.73	7	5	7
chr10	17027536	17027537	Aluexon:1237	chr15:74979520:74979521:-	+	23	4.00	11	11	8
chr10	17422521	17422522	Aluexon:1233	chr15:75351983:75351984:+	+	37	0.70	3	2	3
chr10	17592922	17592923	Aluexon:1247	chr15:75658350:75658351:-	-	87	6.18	6	4	6
chr10	17663664	17663665	Aluexon:1230	chr15:75728784:75728785:-	-	12	4.52	9	4	9
chr10	17671828	17671829	Aluexon:1229	chr15:75736048:75736049:-	-	22	-1.35	13	13	7
chr10	19945314	19945315	Aluexon:4906	chr15:43106052:43106053:-	-	14	-0.81	12	12	5
chr10	19997055	19997056	Aluexon:1156	chr15:43149599:43149600:-	-	136	-24.00	16	9	16
chr10	20702251	20702252	Aluexon:1277	chr15:43828452:43828453:-	-	185	5.79	11	11	5
chr10	20863225	20863226	Aluexon:1278	chr15:44077606:44077607:+	+	30	9.78	6	6	6
chr10	21639143	21639144	Aluexon:1162	chr15:44762665:44762666:+	+	19	-1.33	14	14	5
chr10	22136003	22136004	Aluexon:1167	chr15:45445415:45445416:-	-	29	12.22	18	18	5
chr10	22143578	22143579	Aluexon:1168	chr15:45453344:45453345:-	-	297	-28.56	22	22	5
chr10	22471407	22471408	Aluexon:6227	chr15:45768275:45768276:+	+	23	4.85	7	7	4
chr10	22506623	22506624	Aluexon:6229	chr15:45811459:45811460:+	+	35	3.43	7	7	5
chr10	26323157	26323158	Aluexon:1174	chr15:49411333:49411334:-	-	38	-25.74	12	12	7
chr10	26430774	26430775	Aluexon:1184	chr15:49611167:49611168:+	+	29	2.16	8	8	5
chr10	26764950	26764951	Aluexon:1177	chr15:49925715:49925716:+	+	174	5.00	6	6	6
chr10	26764989	26764990	Aluexon:1178	chr15:49925754:49925755:+	+	213	-18.63	6	6	6
chr10	27582753	27582754	Aluexon:6409	chr15:50787028:50787029:-	-	205	-24.33	6	6	5
chr10	28119193	28119194	Aluexon:4909	chr15:51292364:51292365:+	+	39	-2.84	22	22	7
chr10	28922538	28922539	Aluexon:1188	chr15:52059289:52059290:+	+	61	-20.98	11	11	5
chr10	34052509	34052510	Aluexon:1165	chr15:42135322:42135323:+	-	43	3.46	21	21	5
chr10	34331343	34331344	Aluexon:1154	chr15:41867100:41867101:+	-	183	6.31	7	7	5
chr10	34473179	34473180	Aluexon:1148	chr15:41732432:41732433:+	-	54	4.85	6	6	5
chr10	34665630	34665631	Aluexon:1150	chr15:41526335:41526336:+	-	200	7.33	6	5	6
chr10	34978341	34978342	Aluexon:6225	chr15:41201025:41201026:+	-	193	6.72	6	3	6
chr10	34987446	34987447	Aluexon:1147	chr15:41190854:41190855:+	-	187	7.53	16	16	6
chr10	35003303	35003304	Aluexon:4059	chr15:41174841:41174842:+	-	26	6.86	7	7	3
chr10	35054104	35054105	Aluexon:1141	chr15:41130323:41130324:-	+	173	6.21	7	7	6
chr10	35322763	35322764	Aluexon:5343	chr15:40902995:40902996:+	-	48	6.74	16	16	5
chr10	35744003	35744004	Aluexon:4903	chr15:40516811:40516812:+	-	20	2.53	5	5	5
chr10	35785994	35785995	Aluexon:1137	chr15:40479128:40479129:+	-	33	2.53	6	5	6
chr10	36339126	36339127	Aluexon:4902	chr15:40006943:40006944:-	+	249	-27.28	9	5	9
chr10	44083969	44083970	Aluexon:6408	chr15:32457112:32457113:-	+	31	-4.92	20	20	4
chr10	4453017	4453018	Aluexon:6231	chr15:62353165:62353166:+	+	36	4.82	7	7	3
chr10	44686690	44686691	Aluexon:991	chr14:20784009:20784010:-	-	40	-2.89	5	4	5
chr10	44690459	44690460	Aluexon:992	chr14:20786486:20786487:-	-	161	3.00	9	9	5
chr10	44734553	44734554	Aluexon:988	chr14:20835262:20835263:-	-	280	3.06	6	6	4
chr10	45356578	45356579	Aluexon:6723	chr14:21670092:21670093:-	-	41	-3.38	6	4	6
chr10	45679615	45679616	Aluexon:1010	chr14:21976377:21976378:-	-	28	4.84	16	2	16
chr10	45680883	45680884	Aluexon:1011	chr14:21977695:21977696:-	-	163	-21.71	5	3	5
chr10	4604519	4604520	Aluexon:6232	chr15:62556275:62556276:+	+	96	-21.44	4	2	4
chr10	47104706	47104707	Aluexon:1080	chr14:23501652:23501653:-	-	30	4.82	7	7	5
chr10	47619254	47619255	Aluexon:4870	chr14:24029970:24029971:-	-	45	-12.76	13	13	6
chr10	47621782	47621783	Aluexon:996	chr14:24031851:24031852:-	-	118	-2.23	13	13	3
chr10	48136738	48136739	Aluexon:5741	chr14:24562717:24562718:-	-	171	-0.31	5	4	5
chr10	48152684	48152685	Aluexon:1024	chr14:24579501:24579502:+	+	173	8.64	26	4	26
chr10	48336885	48336886	Aluexon:1009	chr14:24767818:24767819:+	+	36	7.76	7	4	7
chr10	52739028	52739029	Aluexon:999	chr14:29211165:29211166:-	-	26	9.67	13	13	5
chr10	55285815	55285816	Aluexon:1003	chr14:31552730:31552731:+	+	28	-0.15	8	8	6
chr10	55624843	55624844	Aluexon:1007	chr14:31891052:31891053:+	+	26	2.73	8	8	7
chr10	55624853	55624854	Aluexon:1008	chr14:31891062:31891063:+	+	36	-21.52	8	8	7
chr10	55657432	55657433	Aluexon:1005	chr14:31916775:31916776:-	-	273	-7.56	5	4	5
chr10	5853070	5853071	Aluexon:4914	chr15:63819144:63819145:+	+	42	-21.64	7	4	7
chr10	58831501	58831502	Aluexon:4872	chr14:34926099:34926100:-	-	27	-12.60	13	13	6
chr10	5893514	5893515	Aluexon:4913	chr15:63858534:63858535:+	+	32	-24.80	11	11	7
chr10	59415302	59415303	Aluexon:1037	chr14:35519237:35519238:+	+	20	3.06	13	13	5
chr10	59497733	59497734	Aluexon:1040	chr14:35593497:35593498:+	+	20	-7.12	6	6	6
chr10	59668655	59668656	Aluexon:1039	chr14:35743541:35743542:+	+	193	8.22	13	5	13
chr10	60069065	60069066	Aluexon:5742	chr14:36044330:36044331:-	-	19	3.10	6	6	5
chr10	6049524	6049525	Aluexon:1196	chr15:64013717:64013718:-	-	28	-13.28	22	22	4
chr10	60691691	60691692	Aluexon:6724	chr14:36623100:36623101:-	-	185	-1.77	11	11	6
chr10	61824639	61824640	Aluexon:1013	chr14:37688756:37688757:+	+	195	8.70	9	9	5
chr10	61889150	61889151	Aluexon:4874	chr14:37759454:37759455:+	+	29	-6.40	6	6	5
chr10	6247633	6247634	Aluexon:1198	chr15:64201740:64201741:-	-	273	-0.12	14	14	5
chr10	63774634	63774635	Aluexon:1016	chr14:39591109:39591110:+	+	199	-15.90	19	19	9
chr10	64124609	64124610	Aluexon:1015	chr14:39908503:39908504:+	+	27	-7.25	10	10	5
chr10	6440829	6440830	Aluexon:1203	chr15:64407786:64407787:+	+	24	5.31	6	6	5
chr10	6688904	6688905	Aluexon:4916	chr15:64671508:64671509:-	-	200	8.51	19	19	7
chr10	69704610	69704611	Aluexon:1017	chr14:45602599:45602600:-	-	88	-16.49	15	5	15
chr10	69829963	69829964	Aluexon:5743	chr14:45701830:45701831:-	-	41	5.86	5	5	4
chr10	71376344	71376345	Aluexon:6401	chr14:47341163:47341164:-	-	24	-14.18	6	6	4
chr10	7280850	7280851	Aluexon:5347	chr15:65206230:65206231:+	+	55	6.31	8	8	4
chr10	7317383	7317384	Aluexon:1207	chr15:65249440:65249441:+	+	40	6.37	5	5	5
chr10	74260494	74260495	Aluexon:1018	chr14:50166779:50166780:+	+	31	-24.99	10	10	7
chr10	74981676	74981677	Aluexon:6725	chr14:50862642:50862643:-	-	288	-2.08	9	9	6
chr10	75922261	75922262	Aluexon:1021	chr14:51815223:51815224:+	+	24	4.15	5	4	5
chr10	77340539	77340540	Aluexon:1027	chr14:53240332:53240333:+	+	273	-6.72	5	3	5
chr10	77342940	77342941	Aluexon:1029	chr14:53242764:53242765:-	-	141	-5.23	8	7	8
chr10	79125192	79125193	Aluexon:1031	chr14:54989866:54989867:+	+	177	5.20	8	8	6
chr10	79129504	79129505	Aluexon:1030	chr14:54994500:54994501:+	+	30	-7.30	5	5	5
chr10	79307819	79307820	Aluexon:5329	chr14:55167740:55167741:+	+	29	-5.29	21	21	15
chr10	79773518	79773519	Aluexon:1032	chr14:55615402:55615403:-	-	15	4.46	5	5	4
chr10	80039784	80039785	Aluexon:6220	chr14:55849049:55849050:+	+	18	10.20	8	5	8
chr10	80271686	80271687	Aluexon:1034	chr14:56068473:56068474:+	+	16	11.63	8	8	5
chr10	81417121	81417122	Aluexon:1035	chr14:57086074:57086075:+	+	174	5.96	9	9	7
chr10	81741987	81741988	Aluexon:5330	chr14:57364256:57364257:+	+	29	-2.78	17	3	17
chr10	82984886	82984887	Aluexon:6403	chr14:58583225:58583226:-	-	188	-0.24	7	5	7
chr10	83078210	83078211	Aluexon:1050	chr14:58673765:58673766:+	+	27	2.45	10	10	6
chr10	83162821	83162822	Aluexon:1049	chr14:58759380:58759381:-	-	73	-16.16	11	8	11
chr10	83305187	83305188	Aluexon:1043	chr14:58906786:58906787:+	+	17	9.32	9	9	9
chr10	83306511	83306512	Aluexon:1044	chr14:58907937:58907938:+	+	32	-13.68	16	16	4
chr10	83351365	83351366	Aluexon:4055	chr14:58956124:58956125:+	+	183	-31.52	8	8	7
chr10	86084130	86084131	Aluexon:1047	chr14:61545526:61545527:+	+	35	1.64	7	7	7
chr10	86084150	86084151	Aluexon:1048	chr14:61545546:61545547:+	+	55	4.95	7	7	7
chr10	86312780	86312781	Aluexon:1046	chr14:61773953:61773954:-	-	8	-5.56	5	4	5
chr10	89504273	89504274	Aluexon:5332	chr14:65052824:65052825:+	+	167	-12.66	21	21	5
chr10	89683120	89683121	Aluexon:4879	chr14:65211674:65211675:+	+	185	5.20	18	18	6
chr10	90040228	90040229	Aluexon:6550	chr14:65557251:65557252:+	+	26	4.37	8	8	6
chr10	9122287	9122288	Aluexon:6557	chr15:66956698:66956699:+	+	17	-1.65	12	7	12
chr10	91623571	91623572	Aluexon:1053	chr14:66971708:66971709:-	-	10	2.69	12	6	12
chr10	91931815	91931816	Aluexon:5333	chr14:67289961:67289962:+	+	250	-8.73	6	6	4
chr10	92347241	92347242	Aluexon:4880	chr14:67649580:67649581:+	+	20	7.21	13	5	13
chr10	92538483	92538484	Aluexon:1057	chr14:67804226:67804227:-	-	30	-7.41	17	17	5
chr10	92571169	92571170	Aluexon:1056	chr14:67841530:67841531:+	+	46	6.38	9	6	9
chr10	94438077	94438078	Aluexon:1058	chr14:69657760:69657761:-	-	27	12.32	12	12	4
chr10	95926547	95926548	Aluexon:1062	chr14:71170421:71170422:+	+	180	-6.30	9	6	9
chr10	96286719	96286720	Aluexon:1064	chr14:71520012:71520013:+	+	35	1.13	6	5	6
chr10	96695625	96695626	Aluexon:1071	chr14:71970586:71970587:+	+	63	-23.66	8	8	6
chr10	98352434	98352435	Aluexon:1065	chr14:73531678:73531679:+	+	22	1.52	5	5	5
chr10	98772436	98772437	Aluexon:6221	chr14:73943828:73943829:+	+	28	-7.94	7	4	7
chr10	9897641	9897642	Aluexon:1213	chr15:67716188:67716189:-	-	28	7.45	5	5	4
chr10	99109116	99109117	Aluexon:4057	chr14:74337376:74337377:+	+	36	6.43	10	6	10
chr10	9925087	9925088	Aluexon:1211	chr15:67752313:67752314:-	-	119	10.07	17	2	17
chr10	99566511	99566512	Aluexon:1072	chr14:74755549:74755550:-	-	294	-25.66	8	8	5
chr10	99577877	99577878	Aluexon:1074	chr14:74766738:74766739:-	-	53	6.34	14	14	5
chr10	9988232	9988233	Aluexon:5813	chr15:67807404:67807405:-	-	229	5.52	7	7	6
chr10	9994628	9994629	Aluexon:1212	chr15:67811440:67811441:-	-	16	9.42	7	7	4
chr10	99960708	99960709	Aluexon:1077	chr14:75157853:75157854:-	-	197	7.15	23	23	6
chr10	99969626	99969627	Aluexon:1076	chr14:75165559:75165560:-	-	174	4.22	5	5	5
chr10_ACFV01191622_random	1456	1457	Aluexon:5803	chr14:107128795:107128796:-	+	113	-14.43	5	4	5
chr1	10045953	10045954	Aluexon:6548	chr13:95583314:95583315:+	+	35	2.05	13	13	5
chr1	101134265	101134266	Aluexon:4705	chr9:88882742:88882743:-	+	26	-5.39	14	14	5
chr1	101134916	101134917	Aluexon:4704	chr9:88882112:88882113:-	+	58	5.17	6	4	6
chr1	10213174	10213175	Aluexon:6722	chr13:95748433:95748434:-	-	19	8.94	10	8	10
chr1	102152385	102152386	Aluexon:4687	chr9:509820:509821:+	+	20	-6.70	7	7	6
chr1	102179752	102179753	Aluexon:3747	chr9:539514:539515:+	+	21	4.01	11	8	11
chr1	10272527	10272528	Aluexon:977	chr13:95809576:95809577:-	-	162	5.33	5	5	5
chr1	10396074	10396075	Aluexon:5739	chr13:95921676:95921677:-	-	11	2.82	12	12	3
chr1	104546530	104546531	Aluexon:4688	chr9:2835412:2835413:-	-	16	4.95	7	7	6
chr1	108051991	108051992	Aluexon:3749	chr9:6416264:6416265:+	+	207	-12.59	9	9	5
chr1	108057972	108057973	Aluexon:3750	chr9:6422633:6422634:+	+	18	1.91	8	8	5
chr1	108573565	108573566	Aluexon:5624	chr9:6925499:6925500:+	+	9	-13.98	10	3	10
chr11	106490331	106490332	Aluexon:4022	chr11:43339842:43339843:+	+	265	-27.33	13	13	5
chr11	107092605	107092606	Aluexon:6390	chr11:43967226:43967227:-	-	200	6.76	6	5	6
chr11	108174870	108174871	Aluexon:6524	chr11:44996345:44996346:+	+	38	7.97	11	11	7
chr11	109882047	109882048	Aluexon:587	chr11:46642608:46642609:+	+	45	5.27	9	9	7
chr11	109889122	109889123	Aluexon:585	chr11:46651593:46651594:+	+	72	7.71	5	5	5
chr11	109889971	109889972	Aluexon:586	chr11:46652445:46652446:+	+	18	6.15	7	6	7
chr11	110095451	110095452	Aluexon:580	chr11:46835631:46835632:-	-	74	-23.67	5	4	5
chr11	110373553	110373554	Aluexon:597	chr11:47125251:47125252:+	+	30	3.02	13	9	13
chr11	110421511	110421512	Aluexon:598	chr11:47175514:47175515:+	+	22	6.32	8	8	5
chr11	110705015	110705016	Aluexon:588	chr11:47445337:47445338:-	-	19	4.52	6	6	4
chr11	110825322	110825323	Aluexon:4783	chr11:47558282:47558283:-	-	51	5.80	21	21	6
chr11	111055220	111055221	Aluexon:4781	chr11:47772233:47772234:-	-	35	2.15	6	6	5
chr11	114340934	114340935	Aluexon:590	chr11:58338805:58338806:-	-	49	2.22	6	6	5
chr11	116757236	116757237	Aluexon:631	chr11:61205715:61205716:+	+	51	4.40	8	8	5
chr11	116757286	116757287	Aluexon:632	chr11:61205765:61205766:+	+	101	-1.04	8	8	5
chr11	117177171	117177172	Aluexon:4786	chr11:61588257:61588258:-	-	133	-0.84	14	14	5
chr11	118351756	118351757	Aluexon:697	chr11:62441162:62441163:+	+	21	1.41	6	5	6
chr11	118532893	118532894	Aluexon:603	chr11:62600750:62600751:-	-	33	0.59	6	6	3
chr11	118585428	118585429	Aluexon:609	chr11:62649975:62649976:+	+	15	-9.87	9	9	7
chr11	118949407	118949408	Aluexon:5289	chr11:63275457:63275458:+	+	263	-16.48	11	11	5
chr11	119059188	119059189	Aluexon:4785	chr11:63358686:63358687:-	-	188	4.28	7	7	5
chr11	120537759	120537760	Aluexon:613	chr11:64690459:64690460:+	+	23	3.48	7	7	4
chr11	120668039	120668040	Aluexon:615	chr11:64810495:64810496:+	+	180	2.24	6	6	3
chr11	121049518	121049519	Aluexon:5706	chr11:65151172:65151173:-	-	85	-12.95	6	6	5
chr11	121078680	121078681	Aluexon:618	chr11:65180741:65180742:+	+	285	-28.26	13	13	7
chr11	12216282	12216283	Aluexon:6211	chr11:114578108:114578109:+	+	301	-20.14	5	5	5
chr11	122424931	122424932	Aluexon:635	chr11:66447032:66447033:+	+	287	3.46	6	6	5
chr11	122715774	122715775	Aluexon:4792	chr11:66715670:66715671:-	-	28	5.46	20	7	20
chr11	122925237	122925238	Aluexon:5291	chr11:66917235:66917236:+	+	42	6.37	14	14	5
chr11	122925367	122925368	Aluexon:622	chr11:66917365:66917366:+	+	172	-4.02	14	14	5
chr11	123955142	123955143	Aluexon:626	chr11:68189665:68189666:+	+	274	-13.35	15	4	15
chr11	124269144	124269145	Aluexon:624	chr11:68505353:68505354:-	-	85	5.45	13	5	8
chr11	125882446	125882447	Aluexon:6393	chr11:70221726:70221727:-	-	197	8.83	9	9	7
chr11	127141401	127141402	Aluexon:521	chr11:3383119:3383120:-	-	176	9.14	6	2	6
chr11	127141541	127141542	Aluexon:523	chr11:3383262:3383263:-	-	33	4.71	6	2	6
chr11	127147046	127147047	Aluexon:524	chr11:3388287:3388288:-	-	21	10.43	10	10	5
chr11	127442703	127442704	Aluexon:519	chr11:3003029:3003030:-	+	41	5.72	13	13	5
chr11	129607253	129607254	Aluexon:5701	chr11:914682:914683:-	+	53	-31.96	14	14	4
chr11	129621565	129621566	Aluexon:534	chr11:903697:903698:-	+	102	-6.94	10	10	5
chr11	129754415	129754416	Aluexon:993	chr11:778111:778112:+	-	27	0.09	5	4	5
chr11	129877570	129877571	Aluexon:535	chr11:654704:654705:-	+	179	3.83	4	4	4
chr11	129877624	129877625	Aluexon:5700	chr11:654656:654657:-	+	227	-2.07	4	4	4
chr11	129971952	129971953	Aluexon:514	chr11:559777:559778:+	-	7	4.23	6	6	4
chr11	130077842	130077843	Aluexon:4770	chr11:456360:456361:+	-	202	-0.87	14	5	14
chr11	130251178	130251179	Aluexon:513	chr11:329981:329982:+	-	22	-13.50	4	4	4
chr11	13204571	13204572	Aluexon:690	chr11:115499297:115499298:+	+	45	-16.98	14	14	5
chr11	14321014	14321015	Aluexon:4031	chr11:116627059:116627060:-	-	178	2.24	11	11	6
chr11	14339645	14339646	Aluexon:691	chr11:116646049:116646050:-	-	144	-3.97	10	10	5
chr11	14760074	14760075	Aluexon:5299	chr11:117045607:117045608:+	+	114	-3.43	5	5	4
chr11	14830614	14830615	Aluexon:700	chr11:117116724:117116725:+	+	41	4.98	9	9	5
chr11	14884480	14884481	Aluexon:5300	chr11:117162060:117162061:+	+	66	-20.36	13	13	5
chr11	14955329	14955330	Aluexon:702	chr11:117234667:117234668:+	+	192	-0.98	16	16	5
chr1	115076237	115076238	Aluexon:4690	chr9:13262442:13262443:-	-	25	-5.39	12	12	6
chr11	15623379	15623380	Aluexon:5711	chr11:117902684:117902685:-	-	139	2.89	8	3	8
chr11	16773396	16773397	Aluexon:4032	chr11:119001822:119001823:+	+	41	6.57	6	6	6
chr11	18123441	18123442	Aluexon:4801	chr11:120288236:120288237:+	+	22	2.30	19	19	5
chr1	118607293	118607294	Aluexon:6019	chr9:16665173:16665174:-	-	211	5.70	12	12	6
chr1	118643550	118643551	Aluexon:6020	chr9:16700919:16700920:-	-	34	0.38	5	3	5
chr1	119446184	119446185	Aluexon:3752	chr9:17494903:17494904:+	+	29	-14.05	6	6	5
chr11	21249229	21249230	Aluexon:4802	chr11:123344160:123344161:+	+	65	-18.21	7	3	7
chr1	122799726	122799727	Aluexon:3760	chr9:20755842:20755843:+	+	9	4.49	5	5	4
chr1	122989294	122989295	Aluexon:3759	chr9:20957499:20957500:+	+	32	-9.34	12	12	6
chr11	23437989	23437990	Aluexon:708	chr11:125445778:125445779:+	+	98	-1.97	6	3	6
chr11	23458736	23458737	Aluexon:4804	chr11:125469330:125469331:+	+	35	4.19	25	25	8
chr11	23487934	23487935	Aluexon:4803	chr11:125494766:125494767:+	+	144	2.48	6	4	6
chr1	123987946	123987947	Aluexon:3757	chr9:22066232:22066233:+	+	21	2.12	15	15	5
chr11	24138964	24138965	Aluexon:5712	chr11:126077512:126077513:-	-	230	-19.97	7	7	5
chr11	24202728	24202729	Aluexon:5301	chr11:126142371:126142372:+	+	178	4.45	6	5	6
chr11	24485576	24485577	Aluexon:5713	chr11:126420542:126420543:-	-	27	-2.49	4	4	4
chr11	27988896	27988897	Aluexon:704	chr11:129763280:129763281:-	-	196	8.63	6	5	6
chr11	28825922	28825923	Aluexon:6529	chr11:130584039:130584040:+	+	27	9.67	10	10	4
chr1	129232131	129232132	Aluexon:6832	chr9:27277108:27277109:-	-	180	3.60	7	7	5
chr11	32909532	32909533	Aluexon:6530	chr11:134337757:134337758:+	+	23	4.58	13	13	5
chr1	13298670	13298671	Aluexon:981	chr13:98811744:98811745:+	+	18	2.30	18	18	5
chr11	34929974	34929975	Aluexon:681	chr11:102191015:102191016:+	-	12	4.19	13	13	5
chr1	135070589	135070590	Aluexon:3761	chr9:33036122:33036123:+	+	142	5.50	8	2	8
chr1	135704830	135704831	Aluexon:3763	chr9:33956879:33956880:-	-	225	-4.33	13	13	6
chr1	135792075	135792076	Aluexon:4198	chr9:34032864:34032865:-	-	68	-18.93	8	8	3
chr1	13581500	13581501	Aluexon:980	chr13:99077692:99077693:+	+	49	6.70	5	5	5
chr1	135944902	135944903	Aluexon:4692	chr9:34178485:34178486:+	+	24	7.63	10	10	3
chr1	136003944	136003945	Aluexon:4693	chr9:34216670:34216671:+	+	30	1.04	5	5	4
chr1	136007787	136007788	Aluexon:5625	chr9:34220435:34220436:+	+	95	-8.35	7	7	6
chr1	136022256	136022257	Aluexon:4695	chr9:34235849:34235850:+	+	34	2.63	5	5	5
chr1	136071221	136071222	Aluexon:3766	chr9:34288482:34288483:-	-	22	1.27	7	6	7
