"aluexon"	"chr_hg19_t"	"start_hg19_t"	"end_hg19_t"	"position_hg19_t"	"strand_hg19_t"	"distance_hg19_t"	"chr_alu_hg19_t"	"start_alu_hg19_t"	"end_alu_hg19_t"	"alu_element_hg19_t"	"alu_substitutions_hg19_t"	"alu_strand_hg19_t"	"chr_hg19"	"start_hg19"	"end_hg19"	"position_hg19"	"strand_hg19"	"distance_hg19"	"3SSS_hg19"	"WU_hg19"	"U1_hg19"	"U2_hg19"	"region_hg19"	"chr_panTro4"	"start_panTro4"	"end_panTro4"	"position_panTro4"	"strand_panTro4"	"distance_panTro4"	"3SSS_panTro4"	"WU_panTro4"	"U1_panTro4"	"U2_panTro4"	"region_panTro4"	"chr_nomLeu1"	"start_nomLeu1"	"end_nomLeu1"	"position_nomLeu1"	"strand_nomLeu1"	"distance_nomLeu1"	"3SSS_nomLeu1"	"WU_nomLeu1"	"U1_nomLeu1"	"U2_nomLeu1"	"region_nomLeu1"	"chr_rheMac3"	"start_rheMac3"	"end_rheMac3"	"position_rheMac3"	"strand_rheMac3"	"distance_rheMac3"	"3SSS_rheMac3"	"WU_rheMac3"	"U1_rheMac3"	"U2_rheMac3"	"region_rheMac3"	"chr_calJac3"	"start_calJac3"	"end_calJac3"	"position_calJac3"	"strand_calJac3"	"distance_calJac3"	"3SSS_calJac3"	"WU_calJac3"	"U1_calJac3"	"U2_calJac3"	"region_calJac3"	"furthest_all"	"furthest"	"UCSCtype"	"dist"	"Exon_Originated"
"Aluexon:1011"	"chr14"	21977695	21977696	"chr14:21977695:21977696:-"	"-"	163	"chr14"	21977604	21977859	"AluJr4"	"highest"	"-"	"chr14"	21977695	21977696	"chr14:21977695:21977696:-"	"-"	163	-19.69	7	7	5	"hg19"	"chr14"	20404063	20404064	"chr14:21977695:21977696:-"	"-"	163	-21.84	7	7	5	"panTro4"	"GL397280"	719732	719733	"chr14:21977695:21977696:-"	"-"	163	-22.17	7	7	5	"nomLeu1"	"chr7"	83594731	83594732	"chr14:21977695:21977696:-"	"-"	163	-22.17	7	7	5	"rheMac3"	"chr10"	45680883	45680884	"chr14:21977695:21977696:-"	"-"	163	-21.71	5	3	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1012"	"chr14"	35403337	35403338	"chr14:35403337:35403338:-"	"-"	34	"chr14"	35403077	35403372	"AluSc"	"moderate"	"-"	"chr14"	35403337	35403338	"chr14:35403337:35403338:-"	"-"	34	3.06	18	18	5	"hg19"	"chr14"	33838522	33838523	"chr14:35403337:35403338:-"	"-"	34	-5.69	18	18	5	"panTro4"	"GL397292"	11465572	11465573	"chr14:35403337:35403338:-"	"-"	34	3.01	13	13	5	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"cryptic"	"Right arm"	"Constant Exon"
"Aluexon:1013"	"chr14"	37688756	37688757	"chr14:37688756:37688757:+"	"+"	195	"chr14"	37688562	37688871	"AluJo"	"highest"	"+"	"chr14"	37688756	37688757	"chr14:37688756:37688757:+"	"+"	195	9.6	7	6	7	"hg19"	"chr14"	36179806	36179807	"chr14:37688756:37688757:+"	"+"	195	9.6	7	6	7	"panTro4"	"GL397292"	13698934	13698935	"chr14:37688756:37688757:+"	"+"	195	0.96	7	6	7	"nomLeu1"	"chr7"	100080553	100080554	"chr14:37688756:37688757:+"	"+"	195	7.15	NA	NA	NA	"rheMac3"	"chr10"	61824639	61824640	"chr14:37688756:37688757:+"	"+"	195	8.7	9	9	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Left arm"	"Constant Exon"
"Aluexon:1014"	"chr14"	37946122	37946123	"chr14:37946122:37946123:+"	"+"	22	"chr14"	37946101	37946404	"AluSx"	"low"	"+"	"chr14"	37946122	37946123	"chr14:37946122:37946123:+"	"+"	22	-4.76	23	23	5	"hg19"	"chr14"	36442839	36442840	"chr14:37946122:37946123:+"	"+"	22	-4.76	24	24	5	"panTro4"	"GL397292"	13974848	13974849	"chr14:37946122:37946123:+"	"+"	22	-5.41	15	15	5	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:1015"	"chr14"	39908503	39908504	"chr14:39908503:39908504:+"	"+"	27	"chr14"	39908477	39908754	"AluJr4"	"highest"	"+"	"chr14"	39908503	39908504	"chr14:39908503:39908504:+"	"+"	27	3.55	8	8	6	"hg19"	"chr14"	38439050	38439051	"chr14:39908503:39908504:+"	"+"	27	3.55	8	8	6	"panTro4"	"GL397292"	15908824	15908825	"chr14:39908503:39908504:+"	"+"	27	-18.95	8	8	6	"nomLeu1"	"chr7"	102303461	102303462	"chr14:39908503:39908504:+"	"+"	27	-17.03	8	8	6	"rheMac3"	"chr10"	64124609	64124610	"chr14:39908503:39908504:+"	"+"	27	-7.25	10	10	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:1016"	"chr14"	39591109	39591110	"chr14:39591109:39591110:+"	"+"	199	"chr14"	39590911	39591224	"AluSq2"	"low"	"+"	"chr14"	39591109	39591110	"chr14:39591109:39591110:+"	"+"	199	3.74	14	6	14	"hg19"	"chr14"	38118006	38118007	"chr14:39591109:39591110:+"	"+"	199	3.74	10	10	10	"panTro4"	"GL397292"	15602735	15602736	"chr14:39591109:39591110:+"	"+"	199	3.74	8	8	7	"nomLeu1"	"chr7"	101979884	101979885	"chr14:39591109:39591110:+"	"+"	199	3.12	14	14	7	"rheMac3"	"chr10"	63774634	63774635	"chr14:39591109:39591110:+"	"+"	199	-15.9	19	19	9	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Left arm"	"Emerging Exon"
"Aluexon:1017"	"chr14"	45602599	45602600	"chr14:45602599:45602600:-"	"-"	88	"chr14"	45602400	45602688	"AluSc8"	"lowest"	"-"	"chr14"	45602599	45602600	"chr14:45602599:45602600:-"	"-"	88	-13.01	7	7	6	"hg19"	"chr14"	44027726	44027727	"chr14:45602599:45602600:-"	"-"	88	-13.01	7	7	5	"panTro4"	"GL397292"	20648446	20648447	"chr14:45602599:45602600:-"	"-"	88	-13.23	7	7	6	"nomLeu1"	"chr7"	108219822	108219823	"chr14:45602599:45602600:-"	"-"	88	-13.01	6	6	6	"rheMac3"	"chr10"	69704610	69704611	"chr14:45602599:45602600:-"	"-"	88	-16.49	15	5	15	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1018"	"chr14"	50166779	50166780	"chr14:50166779:50166780:+"	"+"	31	"chr14"	50166749	50167009	"AluSz"	"lowest"	"+"	"chr14"	50166779	50166780	"chr14:50166779:50166780:+"	"+"	31	-29.06	17	17	5	"hg19"	"chr14"	48603182	48603183	"chr14:50166779:50166780:+"	"+"	31	-29.06	20	20	5	"panTro4"	"GL397312"	282440	282441	"chr14:50166779:50166780:+"	"+"	31	-26.48	16	16	5	"nomLeu1"	"chr7"	112711221	112711222	"chr14:50166779:50166780:+"	"+"	31	-29.47	15	15	5	"rheMac3"	"chr10"	74260494	74260495	"chr14:50166779:50166780:+"	"+"	31	-24.99	10	10	7	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"alternative"	"Right arm"	"Emerging Exon"
"Aluexon:1019"	"chr14"	50264183	50264184	"chr14:50264183:50264184:-"	"-"	191	"chr14"	50264069	50264375	"AluY"	"lowest"	"-"	"chr14"	50264183	50264184	"chr14:50264183:50264184:-"	"-"	191	6.73	8	8	5	"hg19"	"chr14"	48711086	48711087	"chr14:50264183:50264184:-"	"-"	191	6.73	8	8	5	"panTro4"	"GL397312"	384541	384542	"chr14:50264183:50264184:-"	"-"	191	6.73	6	6	5	"nomLeu1"	"chr7"	112811482	112811483	"chr14:50264183:50264184:-"	"-"	191	6.73	10	10	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Left arm"	"Constant Exon"
"Aluexon:102"	"chr1"	39379210	39379211	"chr1:39379210:39379211:+"	"+"	17	"chr1"	39379194	39379318	"FLAM_A"	"moderate"	"+"	"chr1"	39379210	39379211	"chr1:39379210:39379211:+"	"+"	17	10.16	14	14	4	"hg19"	"chr1"	39149476	39149477	"chr1:39379210:39379211:+"	"+"	17	10.07	18	18	4	"panTro4"	"GL397355"	3802564	3802565	"chr1:39379210:39379211:+"	"+"	17	7.73	7	7	4	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"cryptic"	"Right arm"	"Evolving Exon"
"Aluexon:1020"	"chr14"	23445053	23445054	"chr14:23445053:23445054:-"	"-"	19	"chr14"	23444788	23445073	"AluY"	"lowest"	"-"	"chr14"	23445053	23445054	"chr14:23445053:23445054:-"	"-"	19	4.3	14	14	6	"hg19"	"chr14"	21881088	21881089	"chr14:23445053:23445054:-"	"-"	19	4.74	25	25	7	"panTro4"	"GL397280"	2149544	2149545	"chr14:23445053:23445054:-"	"-"	19	2.3	32	32	7	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"cryptic"	"Right arm"	"Evolving Exon"
"Aluexon:1021"	"chr14"	51815223	51815224	"chr14:51815223:51815224:+"	"+"	24	"chr14"	51815200	51815265	"AluJo"	"low"	"+"	"chr14"	51815223	51815224	"chr14:51815223:51815224:+"	"+"	24	4.52	8	8	4	"hg19"	"chr14"	50286722	50286723	"chr14:51815223:51815224:+"	"+"	24	4.52	8	8	4	"panTro4"	"GL397312"	2010893	2010894	"chr14:51815223:51815224:+"	"+"	24	4.42	11	11	4	"nomLeu1"	"chr7"	114366394	114366395	"chr14:51815223:51815224:+"	"+"	24	4.19	16	16	4	"rheMac3"	"chr10"	75922261	75922262	"chr14:51815223:51815224:+"	"+"	24	4.15	5	4	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"constitutive"	"Right arm"	"Constant Exon"
"Aluexon:1022"	"chr14"	53108092	53108093	"chr14:53108092:53108093:-"	"-"	259	"chr14"	53108038	53108352	"AluY"	"lowest"	"-"	"chr14"	53108092	53108093	"chr14:53108092:53108093:-"	"-"	259	-4.69	19	7	19	"hg19"	"chr14"	51588519	51588520	"chr14:53108092:53108093:-"	"-"	259	-12.65	11	7	11	"panTro4"	"GL397312"	3302937	3302938	"chr14:53108092:53108093:-"	"-"	259	-10.39	14	10	14	"nomLeu1"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", NA, NA)"	"nomLeu1"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1024"	"chr14"	24579501	24579502	"chr14:24579501:24579502:+"	"+"	173	"chr14"	24579329	24579612	"AluJb"	"high"	"+"	"chr14"	24579501	24579502	"chr14:24579501:24579502:+"	"+"	173	7.64	13	13	5	"hg19"	"chr14"	22956399	22956400	"chr14:24579501:24579502:+"	"+"	173	7.86	13	13	6	"panTro4"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"chr7"	86331010	86331011	"chr14:24579501:24579502:+"	"+"	173	7.36	13	13	9	"rheMac3"	"chr10"	48152684	48152685	"chr14:24579501:24579502:+"	"+"	173	8.64	26	4	26	"calJac3"	"c(\"hg19\", \"panTro4\", NA, \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Constant Exon"
"Aluexon:1025"	"chr14"	53329377	53329378	"chr14:53329377:53329378:-"	"-"	24	"chr14"	53329105	53329402	"AluJo"	"high"	"-"	"chr14"	53329377	53329378	"chr14:53329377:53329378:-"	"-"	24	-27.31	6	6	6	"hg19"	"chr14"	51814380	51814381	"chr14:53329377:53329378:-"	"-"	24	-23.1	6	6	6	"panTro4"	"GL397312"	3559287	3559288	"chr14:53329377:53329378:-"	"-"	24	-27.18	6	6	6	"nomLeu1"	"chr7"	115856660	115856661	"chr14:53329377:53329378:-"	"-"	24	-27.56	5	5	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Right arm"	"Emerging Exon"
"Aluexon:1026"	"chr14"	53198402	53198403	"chr14:53198402:53198403:+"	"+"	251	"chr14"	53198152	53198452	"AluSc"	"lowest"	"+"	"chr14"	53198402	53198403	"chr14:53198402:53198403:+"	"+"	251	-12.08	21	21	5	"hg19"	"chr14"	51681631	51681632	"chr14:53198402:53198403:+"	"+"	251	-12.08	18	18	5	"panTro4"	"GL397312"	3404439	3404440	"chr14:53198402:53198403:+"	"+"	251	-14.91	10	10	5	"nomLeu1"	"chr8"	77704116	77704117	"chr14:53198402:53198403:+"	"-"	251	-7.46	8	8	5	"rheMac3"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", NA)"	"rheMac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1027"	"chr14"	53240332	53240333	"chr14:53240332:53240333:+"	"+"	273	"chr14"	53240060	53240354	"AluSz"	"lowest"	"+"	"chr14"	53240332	53240333	"chr14:53240332:53240333:+"	"+"	273	-1.62	15	15	5	"hg19"	"chr14"	51723617	51723618	"chr14:53240332:53240333:+"	"+"	273	-1.62	12	12	5	"panTro4"	"GL397312"	3445858	3445859	"chr14:53240332:53240333:+"	"+"	273	-1.86	10	10	5	"nomLeu1"	"chr8"	77657563	77657564	"chr14:53240332:53240333:+"	"-"	273	-10.55	13	13	5	"rheMac3"	"chr10"	77340539	77340540	"chr14:53240332:53240333:+"	"+"	273	-6.72	5	3	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:1029"	"chr14"	53242764	53242765	"chr14:53242764:53242765:-"	"-"	141	"chr14"	53242614	53242906	"AluJb"	"highest"	"-"	"chr14"	53242764	53242765	"chr14:53242764:53242765:-"	"-"	141	1.53	6	4	6	"hg19"	"chr14"	51726051	51726052	"chr14:53242764:53242765:-"	"-"	141	1.53	5	4	5	"panTro4"	"GL397312"	3448335	3448336	"chr14:53242764:53242765:-"	"-"	141	3.76	8	4	8	"nomLeu1"	"chr8"	77655120	77655121	"chr14:53242764:53242765:-"	"+"	141	-2.06	10	8	10	"rheMac3"	"chr10"	77342940	77342941	"chr14:53242764:53242765:-"	"-"	141	-5.23	8	7	8	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Left arm"	"Emerging Exon"
"Aluexon:103"	"chr1"	36858088	36858089	"chr1:36858088:36858089:-"	"-"	19	"chr1"	36857975	36858108	"FLAM_C"	"high"	"-"	"chr1"	36858088	36858089	"chr1:36858088:36858089:-"	"-"	19	10.46	5	5	5	"hg19"	"chr1"	36608506	36608507	"chr1:36858088:36858089:-"	"-"	19	10.46	5	5	5	"panTro4"	"GL397355"	1284505	1284506	"chr1:36858088:36858089:-"	"-"	19	-2.61	5	5	5	"nomLeu1"	"chr1"	39441141	39441142	"chr1:36858088:36858089:-"	"-"	19	9.03	5	5	5	"rheMac3"	"chr7"	70760219	70760220	"chr1:36858088:36858089:-"	"-"	19	8.36	17	17	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Evolving Exon"
"Aluexon:1030"	"chr14"	54994500	54994501	"chr14:54994500:54994501:+"	"+"	30	"chr14"	54994471	54994758	"AluJb"	"highest"	"+"	"chr14"	54994500	54994501	"chr14:54994500:54994501:+"	"+"	30	10.31	13	13	5	"hg19"	"chr14"	53475787	53475788	"chr14:54994500:54994501:+"	"+"	30	10.31	12	12	5	"panTro4"	"GL397312"	5272511	5272512	"chr14:54994500:54994501:+"	"+"	30	1.95	18	18	6	"nomLeu1"	"chr7"	117551062	117551063	"chr14:54994500:54994501:+"	"+"	30	5.28	8	8	6	"rheMac3"	"chr10"	79129504	79129505	"chr14:54994500:54994501:+"	"+"	30	-7.3	5	5	5	"calJac3"	"c(\"hg19\", \"panTro4\", \"nomLeu1\", \"rheMac3\", \"calJac3\")"	"calJac3"	"cryptic"	"Right arm"	"Emerging Exon"
