chr	start	end	aluexon	position	strand	distance_to_alu	3SSS	WU	U1	U2
chr10	1151751	1151752	AluID:174826	chr10:1151753:1151754	+	18	-17.85	8	8	6
chr10	115648605	115648606	AluID:188914	chr10:115648604:115648605	+	21	4.78	19	19	5
chr10	11592759	11592760	AluID:175448	chr10:11592758:11592759	-	19	-0.81	8	8	5
chr10	115950257	115950258	AluID:188947	chr10:115950258:115950259	+	19	-8.50	7	7	5
chr10	115989324	115989325	AluID:188962	chr10:115989326:115989327	+	18	3.73	18	18	10
chr10	116104864	116104865	AluID:188994	-1	-	20	-4.32	15	15	5
chr10	11620601	11620602	AluID:175454	chr10:11620600:11620601	-	19	-5.19	8	8	3
chr10	116254274	116254275	AluID:189018	chr10:116254276:116254277	-	22	-7.37	4	4	4
chr10	1163012	1163013	AluID:174830	chr10:1163011:1163012	+	21	-0.39	7	7	6
chr10	116885835	116885836	AluID:189107	1	+	20	-8.10	7	7	7
chr10	117070719	117070720	AluID:189132	1	+	20	2.30	18	18	5
chr10	117524192	117524193	AluID:189184	chr10:117524191:117524192	+	21	0.81	7	7	7
chr10	117848439	117848440	AluID:189202	-1	-	20	-5.74	29	29	6
chr10	118096688	118096689	AluID:189225	chr10:118096687:118096688	+	21	2.65	15	15	5
chr10	118493964	118493965	AluID:189254	chr10:118493963:118493964	-	19	-5.73	19	19	5
chr10	118767070	118767071	AluID:189286	-1	-	20	-5.74	26	26	4
chr10	118801	118802	AluID:174663	chr10:118802:118803	-	21	-5.73	18	18	7
chr10	118803361	118803362	AluID:189302	-1	-	20	-1.31	6	3	6
chr10	118853037	118853038	AluID:189320	chr10:118853035:118853036	-	18	-3.97	9	6	9
chr10	11971136	11971137	AluID:175499	chr10:11971134:11971135	-	18	-2.80	7	6	7
chr10	120500114	120500115	AluID:189397	-1	-	20	1.10	5	5	5
chr10	12071959	12071960	AluID:175564	-1	-	20	-5.55	13	13	5
chr10	120803385	120803386	AluID:189415	chr10:120803386:120803387	-	21	-18.94	7	7	5
chr10	120880834	120880835	AluID:189464	chr10:120880835:120880836	+	19	1.80	22	8	22
chr10	120910884	120910885	AluID:189487	-1	-	20	0.03	9	9	6
chr10	120913974	120913975	AluID:189490	chr10:120913973:120913974	-	19	-21.89	11	2	11
chr10	121147486	121147487	AluID:189552	1	+	20	-15.00	13	10	13
chr10	12117557	12117558	AluID:175590	chr10:12117556:12117557	+	21	6.53	6	6	5
chr10	12130608	12130609	AluID:175600	chr10:12130610:12130611	+	18	-12.17	6	3	6
chr10	12139278	12139279	AluID:175611	1	+	20	-1.66	6	5	6
chr10	121534031	121534032	AluID:189640	1	+	20	3.20	11	11	6
chr10	121553175	121553176	AluID:189648	chr10:121553173:121553174	+	22	-8.76	8	8	6
chr10	122223346	122223347	AluID:189721	chr10:122223345:122223346	+	21	7.71	9	9	6
chr10	122618791	122618792	AluID:189732	chr10:122618789:122618790	+	22	-4.48	13	13	6
chr10	12265298	12265299	AluID:175703	chr10:12265296:12265297	+	22	-8.28	7	7	5
chr10	123645421	123645422	AluID:189819	chr10:123645422:123645423	-	21	-4.08	5	5	5
chr10	123675415	123675416	AluID:189843	chr10:123675414:123675415	-	19	0.59	10	10	8
chr10	123677840	123677841	AluID:189847	chr10:123677842:123677843	-	22	3.36	16	16	5
chr10	123863893	123863894	AluID:189927	chr10:123863892:123863893	+	21	-8.83	10	10	7
chr10	124813586	124813587	AluID:190050	chr10:124813588:124813589	+	18	6.15	5	5	5
chr10	12507365	12507366	AluID:175799	chr10:12507364:12507365	+	21	0.34	5	5	5
chr10	125574532	125574533	AluID:190068	chr10:125574531:125574532	-	19	-4.62	6	6	6
chr10	125597966	125597967	AluID:190071	chr10:125597968:125597969	-	22	9.66	5	5	5
chr10	12565906	12565907	AluID:175823	chr10:12565907:12565908	+	19	-2.18	7	7	6
chr10	126156095	126156096	AluID:190111	chr10:126156094:126156095	+	21	-4.18	16	16	6
chr10	126162721	126162722	AluID:190116	1	+	20	-5.74	25	25	5
chr10	126451152	126451153	AluID:190181	chr10:126451154:126451155	-	22	-0.15	5	5	5
chr10	126747205	126747206	AluID:190263	chr10:126747207:126747208	-	22	-6.78	5	5	3
chr10	12693800	12693801	AluID:175884	chr10:12693802:12693803	+	18	-4.56	13	13	7
chr10	12740692	12740693	AluID:175898	1	+	20	3.97	18	18	5
chr10	127598095	127598096	AluID:190350	chr10:127598094:127598095	+	21	-4.79	22	13	22
chr10	127652775	127652776	AluID:190372	1	+	20	-5.74	24	24	5
chr10	12809902	12809903	AluID:175920	chr10:12809904:12809905	+	18	-15.54	5	4	5
chr10	128159117	128159118	AluID:190415	-1	-	20	-17.77	6	6	6
chr10	128269214	128269215	AluID:190434	chr10:128269215:128269216	-	21	3.37	15	15	6
chr10	128312408	128312409	AluID:190439	chr10:128312409:128312410	-	21	2.69	18	18	5
chr10	128789800	128789801	AluID:190466	chr10:128789802:128789803	+	18	-0.56	10	10	5
chr10	129836086	129836087	AluID:190559	chr10:129836088:129836089	+	18	-7.09	23	7	23
chr10	129852036	129852037	AluID:190561	chr10:129852035:129852036	+	21	-1.57	6	6	5
chr10	13025580	13025581	AluID:175960	-1	-	20	-6.20	12	12	5
chr10	13117868	13117869	AluID:175999	-1	-	20	-18.99	7	7	6
chr10	13118058	13118059	AluID:176000	chr10:13118060:13118061	-	22	8.11	7	7	7
chr10	13175822	13175823	AluID:176025	1	+	20	-5.29	9	9	5
chr10	131936339	131936340	AluID:190602	chr10:131936340:131936341	+	19	3.06	5	4	5
chr10	133615797	133615798	AluID:190639	chr10:133615796:133615797	-	19	-4.90	4	4	3
chr10	133927743	133927744	AluID:190648	chr10:133927741:133927742	+	22	1.55	8	3	8
chr10	134374121	134374122	AluID:190694	chr10:134374122:134374123	+	19	7.28	11	11	4
chr10	135101244	135101245	AluID:190730	chr10:135101245:135101246	-	21	1.31	11	11	5
chr10	13554261	13554262	AluID:176115	chr10:13554262:13554263	-	21	-4.95	7	7	3
chr10	13941154	13941155	AluID:176216	chr10:13941155:13941156	-	21	1.92	8	4	8
chr10	13941659	13941660	AluID:176217	chr10:13941658:13941659	-	19	-6.42	6	6	5
chr10	13944846	13944847	AluID:176220	-1	-	20	-7.14	18	18	7
chr10	14034957	14034958	AluID:176247	-1	-	20	-5.74	26	26	5
chr10	14091860	14091861	AluID:176263	chr10:14091858:14091859	-	18	-8.07	5	4	5
chr10	14095990	14095991	AluID:176264	chr10:14095991:14095992	-	21	-16.50	7	5	7
chr10	14166651	14166652	AluID:176282	chr10:14166652:14166653	-	21	-5.73	5	2	5
chr10	14229704	14229705	AluID:176294	chr10:14229706:14229707	-	22	-10.79	6	2	6
chr10	14453024	14453025	AluID:176346	chr10:14453026:14453027	-	22	2.79	22	22	4
chr10	14666625	14666626	AluID:176384	chr10:14666623:14666624	-	18	-10.00	10	10	5
chr10	14701458	14701459	AluID:176398	chr10:14701457:14701458	-	19	0.37	6	6	5
chr10	14773551	14773552	AluID:176417	chr10:14773549:14773550	-	18	-18.16	6	6	5
chr10	14869889	14869890	AluID:176435	chr10:14869888:14869889	-	19	4.85	6	6	5
chr10	14937950	14937951	AluID:176457	chr10:14937948:14937949	+	22	-0.04	12	12	5
chr10	14976334	14976335	AluID:176478	chr10:14976333:14976334	-	19	-4.30	16	16	5
chr10	14987332	14987333	AluID:176484	-1	-	20	-17.62	8	5	8
chr10	15009523	15009524	AluID:176503	1	+	20	2.30	18	18	5
chr10	15105156	15105157	AluID:176537	chr10:15105155:15105156	+	21	-18.09	4	4	4
chr10	15119874	15119875	AluID:176544	-1	-	20	-8.90	6	6	5
chr10	15154240	15154241	AluID:176573	1	+	20	-5.74	35	35	5
chr10	15171905	15171906	AluID:176587	chr10:15171907:15171908	-	22	2.36	22	22	5
chr10	15404721	15404722	AluID:176668	chr10:15404723:15404724	-	22	2.02	5	5	5
chr10	15609164	15609165	AluID:176690	chr10:15609162:15609163	-	18	-6.48	11	11	5
chr10	15624245	15624246	AluID:176693	chr10:15624244:15624245	-	19	-5.43	8	8	4
chr10	1598129	1598130	AluID:174852	chr10:1598131:1598132	-	22	-5.24	6	6	5
chr10	16486019	16486020	AluID:176734	chr10:16486017:16486018	+	22	2.35	16	16	5
chr10	16518918	16518919	AluID:176755	chr10:16518917:16518918	+	21	-5.84	22	22	5
chr10	16854452	16854453	AluID:176823	chr10:16854451:16854452	-	19	1.06	7	7	5
chr10	16870715	16870716	AluID:176825	chr10:16870713:16870714	-	18	-3.63	13	13	5
chr10	17447889	17447890	AluID:176913	chr10:17447887:17447888	-	18	-5.74	18	18	4
chr10	17451558	17451559	AluID:176915	-1	-	20	1.19	11	11	4
chr10	17700540	17700541	AluID:176946	1	+	20	0.42	8	7	8
chr10	17709148	17709149	AluID:176949	chr10:17709147:17709148	+	21	3.01	15	15	5
chr10	17796943	17796944	AluID:176963	1	+	20	-2.18	15	5	15
chr10	17828375	17828376	AluID:176978	chr10:17828373:17828374	+	22	3.03	6	6	4
chr10	17855720	17855721	AluID:176985	chr10:17855719:17855720	+	21	4.19	15	15	7
chr10	18071449	18071450	AluID:177037	chr10:18071451:18071452	+	18	0.66	5	5	5
chr10	18302335	18302336	AluID:177086	chr10:18302334:18302335	+	21	-6.87	6	2	6
chr10	18508722	18508723	AluID:177112	chr10:18508721:18508722	+	21	3.01	15	15	5
chr10	18614721	18614722	AluID:177136	chr10:18614720:18614721	+	21	-10.06	6	3	6
chr10	18619941	18619942	AluID:177141	chr10:18619942:18619943	+	19	-9.84	10	10	5
chr10	18771448	18771449	AluID:177213	chr10:18771447:18771448	+	21	-0.12	7	7	6
chr10	19641947	19641948	AluID:177295	chr10:19641948:19641949	+	19	-5.15	9	9	6
chr10	19756748	19756749	AluID:177310	chr10:19756750:19756751	+	18	-13.82	10	10	5
chr10	19977234	19977235	AluID:177337	chr10:19977235:19977236	+	19	-10.45	5	2	5
chr10	20142381	20142382	AluID:177361	chr10:20142380:20142381	+	21	-17.94	5	5	3
chr10	21312631	21312632	AluID:177477	-1	-	20	-2.18	7	5	7
chr10	21325392	21325393	AluID:177482	chr10:21325393:21325394	-	21	6.99	6	6	6
chr10	21352803	21352804	AluID:177489	-1	-	20	-0.89	6	6	6
chr10	21383129	21383130	AluID:177504	chr10:21383128:21383129	-	19	-3.69	6	5	6
chr10	21388058	21388059	AluID:177508	chr10:21388057:21388058	-	19	-1.40	10	5	10
chr10	21835970	21835971	AluID:177546	chr10:21835971:21835972	+	19	-3.95	8	5	8
chr10	21836350	21836351	AluID:177547	chr10:21836352:21836353	+	18	10.16	16	16	12
chr10	21894392	21894393	AluID:177623	chr10:21894391:21894392	+	21	-0.05	7	7	6
chr10	21953254	21953255	AluID:177651	chr10:21953255:21953256	+	19	-6.36	12	12	6
chr10	21987816	21987817	AluID:177666	1	+	20	1.15	5	5	5
chr10	22001176	22001177	AluID:177674	1	+	20	-5.42	7	5	7
chr10	22082212	22082213	AluID:177692	chr10:22082211:22082212	-	19	-16.17	5	2	5
chr10	22241664	22241665	AluID:177736	-1	-	20	-6.20	7	2	7
chr10	22963896	22963897	AluID:177800	chr10:22963894:22963895	-	18	7.97	8	8	6
chr10	24026160	24026161	AluID:177882	chr10:24026158:24026159	+	22	-15.20	9	9	9
chr10	24358772	24358773	AluID:177928	chr10:24358774:24358775	+	18	-5.80	7	7	7
chr10	24432217	24432218	AluID:177946	chr10:24432218:24432219	+	19	-5.32	6	6	5
chr10	24611879	24611880	AluID:178009	chr10:24611877:24611878	+	22	11.40	6	6	5
chr10	24626611	24626612	AluID:178018	1	+	20	-6.87	12	12	6
chr10	24773519	24773520	AluID:178068	chr10:24773521:24773522	+	18	-12.17	5	5	5
chr10	24780228	24780229	AluID:178069	chr10:24780226:24780227	+	22	-5.36	21	21	5
chr10	24903708	24903709	AluID:174632	chr10:24903706:24903707	-	18	3.97	16	16	5
chr10	25004940	25004941	AluID:178125	-1	-	20	-8.27	5	5	5
chr10	25154043	25154044	AluID:178136	chr10:25154044:25154045	-	21	1.12	5	5	5
chr10	26308218	26308219	AluID:178238	chr10:26308219:26308220	+	19	-14.97	6	6	6
chr10	26468038	26468039	AluID:178263	1	+	20	-5.74	26	26	9
chr10	26783943	26783944	AluID:178319	chr10:26783945:26783946	+	18	-4.06	13	13	5
chr10	26816634	26816635	AluID:178333	1	+	20	-5.74	24	24	4
chr10	26855222	26855223	AluID:178346	chr10:26855221:26855222	+	21	-5.34	5	2	5
chr10	26988333	26988334	AluID:178347	chr10:26988331:26988332	+	22	-5.53	15	15	5
chr10	27107559	27107560	AluID:178395	chr10:27107557:27107558	-	18	2.14	18	18	5
chr10	27317513	27317514	AluID:178435	chr10:27317514:27317515	-	21	2.79	21	21	7
chr10	27404180	27404181	AluID:178477	chr10:27404181:27404182	-	21	2.80	8	7	8
chr10	27405604	27405605	AluID:178478	chr10:27405603:27405604	-	19	-1.03	5	5	5
chr10	27502679	27502680	AluID:178534	-1	-	20	-4.69	12	12	4
chr10	28222184	28222185	AluID:178620	chr10:28222182:28222183	-	18	-12.67	7	6	7
chr10	28410173	28410174	AluID:178657	chr10:28410171:28410172	-	18	-5.01	8	2	8
chr10	28444532	28444533	AluID:178662	chr10:28444533:28444534	-	21	-5.11	11	11	6
chr10	28511774	28511775	AluID:178692	chr10:28511773:28511774	-	19	-4.79	14	14	6
chr10	28513110	28513111	AluID:178694	chr10:28513112:28513113	-	22	4.21	6	6	5
chr10	28618558	28618559	AluID:178745	chr10:28618560:28618561	-	22	2.79	22	22	7
chr10	28857686	28857687	AluID:178762	chr10:28857685:28857686	+	21	3.21	5	3	5
chr10	28862097	28862098	AluID:178764	1	+	20	-28.12	6	5	6
chr10	28870490	28870491	AluID:178768	chr10:28870491:28870492	+	19	-1.38	6	6	5
chr10	29798770	29798771	AluID:178811	chr10:29798768:29798769	-	18	-4.30	10	10	6
chr10	29879103	29879104	AluID:178841	-1	-	20	-5.74	30	30	6
chr10	29891906	29891907	AluID:178844	chr10:29891905:29891906	-	19	-17.18	7	7	5
chr10	29920702	29920703	AluID:178853	chr10:29920703:29920704	-	21	2.01	7	7	3
chr10	31169368	31169369	AluID:179009	chr10:31169369:31169370	-	21	-4.08	17	17	5
chr10	31219553	31219554	AluID:179015	chr10:31219551:31219552	-	18	-20.68	5	5	2
chr10	3135847	3135848	AluID:174872	chr10:3135845:3135846	+	22	-5.92	23	23	6
chr10	31685953	31685954	AluID:179050	chr10:31685952:31685953	+	21	-9.74	11	11	7
chr10	3214031	3214032	AluID:174891	chr10:3214032:3214033	-	21	-21.12	6	6	2
chr10	32169363	32169364	AluID:179078	-1	-	20	-12.12	7	5	7
chr10	32209384	32209385	AluID:179094	chr10:32209383:32209384	-	19	-5.56	22	22	5
chr10	32564707	32564708	AluID:179118	-1	-	20	-4.60	13	13	12
chr10	34594890	34594891	AluID:179293	chr10:34594891:34594892	-	21	-20.58	7	7	7
chr10	34703094	34703095	AluID:179322	chr10:34703093:34703094	-	19	-3.91	5	1	5
chr10	34736417	34736418	AluID:179331	-1	-	20	-5.74	39	39	6
chr10	34774258	34774259	AluID:179344	-1	-	20	3.01	14	14	5
chr10	34884873	34884874	AluID:179381	chr10:34884875:34884876	-	22	-15.07	9	5	9
chr10	35073133	35073134	AluID:179473	chr10:35073132:35073133	-	19	0.73	6	6	6
chr10	35074604	35074605	AluID:179474	chr10:35074606:35074607	-	22	-1.65	7	3	7
chr10	35092735	35092736	AluID:179492	-1	-	20	2.10	6	6	5
chr10	35305860	35305861	AluID:179501	-1	-	20	-5.55	16	16	5
chr10	35356664	35356665	AluID:179535	chr10:35356665:35356666	-	21	9.37	15	15	5
chr10	35371054	35371055	AluID:179545	chr10:35371055:35371056	-	21	1.04	14	14	5
chr10	35460109	35460110	AluID:179578	1	+	20	-5.74	25	25	5
chr10	35465344	35465345	AluID:179579	1	+	20	-4.93	16	16	8
chr10	35590577	35590578	AluID:179632	chr10:35590576:35590577	+	21	0.05	6	4	6
chr10	35591258	35591259	AluID:179634	1	+	20	2.30	18	18	5
chr10	35605812	35605813	AluID:179642	1	+	20	-4.22	9	4	9
chr10	38262089	38262090	AluID:179749	chr10:38262090:38262091	-	21	2.78	15	15	5
chr10	43886922	43886923	AluID:179861	chr10:43886920:43886921	-	18	2.03	16	10	16
chr10	43887684	43887685	AluID:179862	chr10:43887683:43887684	-	19	4.78	5	5	5
chr10	43899432	43899433	AluID:179867	chr10:43899430:43899431	-	18	0.49	11	11	9
chr10	43965684	43965685	AluID:179919	chr10:43965682:43965683	+	22	3.25	9	9	5
chr10	443464	443465	AluID:174703	chr10:443462:443463	-	18	4.64	16	16	5
chr10	46120920	46120921	AluID:180013	chr10:46120921:46120922	-	21	2.79	21	21	8
chr10	47053456	47053457	AluID:180091	chr10:47053455:47053456	-	19	5.53	9	9	4
chr10	47193935	47193936	AluID:180105	-1	-	20	-5.74	29	29	14
chr10	47228332	47228333	AluID:180113	chr10:47228334:47228335	-	22	-14.25	9	9	6
chr10	48801403	48801404	AluID:180159	chr10:48801401:48801402	-	18	-4.84	15	15	5
chr10	49571108	49571109	AluID:180183	chr10:49571106:49571107	+	22	-19.79	6	6	4
chr10	50963286	50963287	AluID:180269	chr10:50963284:50963285	-	18	12.82	7	7	5
chr10	51112973	51112974	AluID:180299	-1	-	20	-2.18	5	5	5
chr10	51347648	51347649	AluID:180350	chr10:51347650:51347651	-	22	-4.36	11	11	7
chr10	51374728	51374729	AluID:180361	chr10:51374729:51374730	+	19	-1.38	7	6	7
chr10	51615553	51615554	AluID:180400	chr10:51615552:51615553	-	19	6.76	11	11	11
chr10	51761197	51761198	AluID:180405	chr10:51761196:51761197	+	21	2.35	16	16	6
chr10	51831088	51831089	AluID:180409	1	+	20	-5.23	11	11	6
chr10	51848731	51848732	AluID:180425	chr10:51848733:51848734	+	18	-5.32	24	24	5
chr10	52347364	52347365	AluID:180491	chr10:52347366:52347367	-	22	-9.68	5	4	5
chr10	52819154	52819155	AluID:180518	chr10:52819155:52819156	+	19	-3.11	7	7	5
chr10	52974270	52974271	AluID:180536	1	+	20	-9.28	11	11	9
chr10	53672705	53672706	AluID:180637	chr10:53672703:53672704	+	22	-9.71	7	7	5
chr10	5440082	5440083	AluID:174923	chr10:5440080:5440081	-	18	7.76	6	6	3
chr10	558861	558862	AluID:174711	chr10:558863:558864	-	22	-5.26	22	22	5
chr10	55976209	55976210	AluID:180708	-1	-	20	0.06	5	4	5
chr10	56623282	56623283	AluID:174622	chr10:56623284:56623285	-	22	-10.57	6	4	6
chr10	56630553	56630554	AluID:180764	chr10:56630554:56630555	-	21	-5.95	10	10	7
chr10	5774529	5774530	AluID:174949	chr10:5774527:5774528	+	22	-7.02	8	8	7
chr10	5866237	5866238	AluID:175005	chr10:5866236:5866237	-	19	2.79	19	19	10
chr10	60152763	60152764	AluID:180862	chr10:60152765:60152766	+	18	-6.70	8	8	6
chr10	60371439	60371440	AluID:180876	1	+	20	-7.65	5	5	5
chr10	60422833	60422834	AluID:180885	chr10:60422834:60422835	+	19	-4.08	18	18	7
chr10	60462942	60462943	AluID:180888	chr10:60462944:60462945	+	18	3.10	17	17	6
chr10	60554202	60554203	AluID:180900	chr10:60554200:60554201	+	22	4.42	14	14	5
chr10	60568498	60568499	AluID:180901	chr10:60568497:60568498	+	21	0.67	15	15	5
chr10	61111084	61111085	AluID:180925	-1	-	20	4.19	14	14	5
chr10	61597513	61597514	AluID:180955	chr10:61597511:61597512	-	18	-5.51	24	24	7
chr10	61619836	61619837	AluID:180960	chr10:61619837:61619838	-	21	4.51	5	4	5
chr10	6266463	6266464	AluID:175137	chr10:6266461:6266462	+	22	3.19	9	9	7
chr10	6327209	6327210	AluID:175143	chr10:6327208:6327209	+	21	-5.46	13	13	5
chr10	63677100	63677101	AluID:181097	chr10:63677099:63677100	+	21	-2.78	5	4	5
chr10	63960131	63960132	AluID:181130	chr10:63960130:63960131	-	19	-5.33	24	24	5
chr10	64284571	64284572	AluID:181159	chr10:64284573:64284574	+	18	-0.32	6	6	5
chr10	64414293	64414294	AluID:181165	chr10:64414294:64414295	+	19	3.10	12	12	5
chr10	64625239	64625240	AluID:181172	chr10:64625238:64625239	-	19	4.60	7	5	7
chr10	6476000	6476001	AluID:175170	-1	-	20	-6.69	19	19	5
chr10	64971221	64971222	AluID:181212	-1	-	20	4.74	18	18	6
chr10	64996685	64996686	AluID:181228	chr10:64996686:64996687	-	21	-13.83	6	5	6
chr10	65038291	65038292	AluID:181248	chr10:65038292:65038293	-	21	0.07	8	8	5
chr10	65071143	65071144	AluID:181270	chr10:65071144:65071145	-	21	-1.57	17	6	17
chr10	65191768	65191769	AluID:181336	chr10:65191770:65191771	-	22	-3.46	5	5	5
chr10	67930883	67930884	AluID:181419	chr10:67930882:67930883	-	19	0.95	8	8	5
chr10	67972771	67972772	AluID:181424	chr10:67972769:67972770	-	18	3.71	5	5	5
chr10	67977107	67977108	AluID:181425	chr10:67977109:67977110	-	22	2.69	16	16	5
chr10	68077423	68077424	AluID:181438	chr10:68077425:68077426	-	22	2.25	8	8	5
chr10	68184705	68184706	AluID:181452	chr10:68184704:68184705	-	19	6.25	6	6	4
chr10	68446205	68446206	AluID:181474	-1	-	20	-15.26	6	6	6
chr10	68448718	68448719	AluID:181475	chr10:68448717:68448718	-	19	4.74	17	17	9
chr10	68494623	68494624	AluID:181481	chr10:68494625:68494626	-	22	8.35	16	16	6
chr10	68709313	68709314	AluID:181507	chr10:68709314:68709315	-	21	3.95	14	14	7
chr10	68793547	68793548	AluID:181535	chr10:68793549:68793550	+	18	3.59	8	8	5
chr10	68811234	68811235	AluID:181540	1	+	20	5.55	13	13	4
chr10	68833812	68833813	AluID:181547	1	+	20	2.79	20	20	5
chr10	68931337	68931338	AluID:181561	chr10:68931335:68931336	-	18	-5.78	13	13	5
chr10	68931517	68931518	AluID:181562	chr10:68931518:68931519	-	21	-7.36	13	6	13
chr10	69015069	69015070	AluID:181576	chr10:69015070:69015071	-	21	-5.87	6	6	5
chr10	69061699	69061700	AluID:181584	-1	-	20	3.61	6	6	5
chr10	69657062	69657063	AluID:181660	chr10:69657063:69657064	+	19	2.65	13	13	5
chr10	69789245	69789246	AluID:181720	chr10:69789246:69789247	-	21	4.39	10	10	5
chr10	70058862	70058863	AluID:181788	chr10:70058864:70058865	-	22	2.79	22	22	7
chr10	70126098	70126099	AluID:181839	chr10:70126096:70126097	-	18	-4.49	20	20	5
